,UNDERWRITING_YEAR,TYPE_OF_COVER,PAYMENT_METHOD,SUM_INSURED,COMPANY_LOADINGS,COMMISION_RATE,LOADINGS,NO_CLAIM_DISCOUNT,SPECIAL_DISCOUNT,TRANSACTION_TYPE,AGENT_CONTRACT_CATEGORY,CLIENT_GENDER,CLIENT_MARITAL_STATUS,CLIENT_OCCUPATION,CLIENT_POLITICAL_PERSON_FLAG,HIGH_RISK_FLAG,CLIENT_NUMBER_OF_DEPENDENTS,CLIENT_SMOKER_FLAG,CLIENT_FAMILY_SIZE,ORIGINAL_UNDERWRITING_YEAR,POLICY_TERM,INSURED_TYPE,RENEWAL_TYPE,CO_INSURANCE,BODILY_INJURY_LIMIT,VEHICLE_MAKE,VEHICLE_YEAR,ADDITIONAL_PERILS,FOREIGN_USED,CUBIC_CENTIMETERS,VEHICLE_MODIFIED,SEATING_CAPACITY,ANTI_THEFT_DEVICE,LEFT_HAND_DRIVE,OPEN_RESTRICTED_FLAG,PA_COVERAGE,PA_DRIVER_INCLUDED,MOTOR_ASSIST,VEHICLE_CONDITION,PREMIUM_CHARGED,HAS_CLAIMED_IN_NEXT_12_MONTHS,CLIENT_CLASS,FLAG_VEHICLE_CONDITION,VEHICLE_AGE,FLAG_POLICY_TYPE_OF_COVER_CHANGE_IN_LAST_12_MONTHS,FLAG_VEHICLE_TYPE_ON_SEATING_CAPACITY,POLICY_HISTORY_AGE
0,2019,Comp,Debit Card,78177.0,0.3,0.0,0.11,0.3,0.32,Endorsement - increase in coverage,Assumed Business,M,D,Business executive,N,Y,3,Y,2,2019,12,Corporate,Renewal,Y,183000,Dodge,2000,Special Perils,Y,1198,Y,4,N,N,O,N,Y,Y,Foreign Used,7257.544154,1,EXPERIENCED,OLD,19,0,COMPACT,0
4,2019,Comp,Cash,88555.0,0.3,0.15,0.09,0.26,0.36,Endorsement - decrease in coverage,Broker,F,S,Secretary,N,Y,4,N,3,2019,12,Individual,Renewal,Y,37000,Ford,1998,Special Perils,N,1151,Y,2,N,N,O,N,N,Y,New,8389.53315970286,1,EXPERIENCED,OLD,21,0,MICRO,0
7,2019,Comp,Cash,65117.0,0.3,0.0,0.07,0.35,0.37,Upgraded Policy,Direct,M,L,Clerical assistant,N,N,1,N,4,2019,12,Individual,Renewal,Y,158000,Hyundai,1996,No Additional Perils,Y,1573,Y,5,Y,N,O,Y,N,N,Foreign Used,3405.007976955,1,EXPERIENCED,OLD,23,0,COMPACT,0
10,2018,Comp,Cash,84587.0,0.3,0.15,0.07,0.37,0.32,Endorsement - decrease in coverage,Broker,M,S,Software Professional,N,Y,4,N,2,2018,12,Corporate,Renewal,Y,139000,Kia,2011,Riot & Special Perils,N,1636,Y,2,Y,Y,O,N,Y,N,New,6808.00280508,1,EXPERIENCED,NEW,7,0,MICRO,0
11,2019,Comp,Cash,80357.65,0.35,0.15,0.17,0.05,0.32,Renewal,Broker,M,S,Software Professional,N,Y,4,N,2,2018,12,Corporate,Renewal,Y,139000,Kia,2011,Riot & Special Perils,N,1636,Y,2,Y,Y,O,N,Y,N,New,12357.423524295,0,EXPERIENCED,NEW,8,0,MICRO,1
12,2018,Comp,Cash,150488.0,0.3,0.15,0.11,0.24,0.34,Endorsement - decrease in coverage,Broker,F,D,Doctor,N,N,1,Y,4,2018,12,Individual,Renewal,Y,205000,Mazda,1999,No Additional Perils,N,1958,Y,3,Y,N,O,Y,Y,Y,New,15309.3775634486,1,YOUNG,OLD,19,0,COMPACT,0
13,2019,Comp,Cash,142963.6,0.35,0.15,0.21,0.05,0.34,Renewal,Broker,F,D,Doctor,N,N,1,Y,4,2018,12,Individual,Renewal,Y,205000,Mazda,1999,No Additional Perils,N,1958,Y,3,Y,N,O,Y,Y,Y,New,22067.88493998,0,YOUNG,OLD,20,0,COMPACT,1
15,2019,Comp,Credit Card,40409.0,0.3,0.0,0.13,0.25,0.39,Endorsement - decrease in coverage,Assumed Business,F,D,Doctor,N,N,1,Y,4,2019,12,Individual,No renewal - Report,Y,112000,Nissan,2011,No Additional Perils,N,1407,Y,3,Y,N,O,N,N,N,New,3246.42575142857,1,YOUNG,NEW,8,0,COMPACT,0
18,2019,Comp,Online payment,100887.0,0.3,0.15,0.09,0.26,0.25,Endorsement - decrease in coverage,Broker,F,M,Software Professional,N,N,4,Y,5,2019,12,Individual,Manual Review Required,Y,239000,Audi,2012,No Additional Perils,N,1149,N,5,Y,Y,O,Y,N,N,New,11214.1928922054,1,EXPERIENCED,NEW,8,0,COMPACT,0
19,2018,Comp,Cash,96970.0,0.3,0.0,0.12,0.22,0.36,Policy Upgrade,Direct,F,M,Social Worker,N,N,2,N,3,2018,12,Individual,Renewal,Y,91000,Acura,1996,No Additional Perils,N,1854,Y,3,Y,N,O,N,N,Y,New,5550.717952,1,EXPERIENCED,OLD,22,0,COMPACT,0
20,2019,Comp,Cash,92121.5,0.35,0.0,0.22,0.05,0.36,Renewal,Direct,F,M,Social Worker,N,N,2,N,3,2018,12,Individual,Renewal,Y,91000,Acura,1996,No Additional Perils,N,1854,Y,3,Y,N,O,N,N,Y,New,12089.5154486154,0,EXPERIENCED,OLD,23,0,COMPACT,1
22,2018,Comp,Cash,67681.0,0.3,0.1,0.07,0.22,0.32,Endorsement - decrease in coverage,Cash Salesmen,M,M,Driver for Uber,N,N,3,N,5,2018,12,Individual,Manual Review Required,Y,210000,Chevrolet,1999,Special Perils,N,1398,Y,2,Y,Y,O,N,N,Y,Second Hand,6424.02556836857,1,EXPERIENCED,OLD,19,0,MICRO,0
